 Nom Ville ,MAJ   , Code Postal , Code INSEE ,Code Région, Latitude , Longitude , Eloignement 
 Machy ,MACHY   ,10320,10212,21,48.133333,4.05,1.19
 Gueschart ,GUESCHART   ,80150,80396,11,50.233333,2,2.18
 Bonloc ,BONLOC   ,64240,64134,72,43.366667,-1.266667,1.76
 Quillan ,QUILLAN   ,11500,11304,91,42.866667,2.183333,1.72
 Courmont ,COURMONT   ,70400,70182,72,47.616667,6.633333,1.91
 Liévin ,LIEVIN   ,62800,62510,31,50.416667,2.766667,1.24
 Loudéac ,LOUDEAC   ,22600,22136,53,48.166667,-2.75,2.04
 Saint-Hilaire-le-Châtel ,SAINT HILAIRE LE CHATEL,61400,61404,25,48.55,0.533333,1.49
 Beinheim ,BEINHEIM   ,67930,67025,73,48.866667,8.083333,2.75
 Bouillancourt-en-Séry ,BOUILLANCOURT EN SERY ,80220,80120,11,49.966667,1.633333,1.76
 Le Val-de-Gouhenans ,LE VAL DE GOUHENANS,70200,70515,72,47.616667,6.483333,1.38
 Montbel ,MONTBEL   ,9600,9200,73,42.983333,1.983333,2.08
 Chierry ,CHIERRY   ,2400,2187,22,49.033333,3.433333,2.12
 Médillac ,MEDILLAC   ,16210,16215,54,45.233333,0.033333,2.57
 Bournonville ,BOURNONVILLE   ,62240,62165,31,50.7,1.85,1.38
 Saint-Paul-d'Espis ,SAINT PAUL D ESPIS,82400,82170,11,44.133333,0.983333,1.27
 Roquefort ,ROQUEFORT   ,32390,32347,91,43.766667,0.6,0.69
 Courteuil ,COURTEUIL   ,60300,60170,22,49.2,2.533333,1.63
 Billiers ,BILLIERS   ,56190,56018,53,47.533333,-2.483333,1.7
 Mouron ,MOURON   ,8250,8310,21,49.316667,4.783333,1.94
 Coutouvre ,COUTOUVRE   ,42460,42074,82,46.066667,4.216667,1.65
 Montier-en-l'Isle ,MONTIER EN L ISLE,10200,10250,21,48.266667,4.666667,1.77
 La Porcherie ,LA PORCHERIE  ,87380,87120,72,45.583333,1.533333,1.69
 Les Menus ,LES MENUS  ,61290,61274,25,48.516667,0.933333,2.19
 Saint-Pierre-des-Ormes ,SAINT PIERRE DES ORMES,72600,72313,52,48.3,0.416667,1.69
 Port-de-Piles ,PORT DE PILES ,86220,86195,11,47,0.6,1.77
 Hendecourt-lès-Ransart ,HENDECOURT LES RANSART ,62175,62425,31,50.2,2.733333,1.57
 Cloué ,CLOUE   ,86600,86080,11,46.433333,0.166667,1
 Mazamet ,MAZAMET   ,81200,81163,11,43.5,2.4,1.72
 Tocqueville-les-Murs ,TOCQUEVILLE LES MURS ,76110,76695,23,49.666667,0.5,1.53
 Macogny ,MACOGNY   ,2470,2449,22,49.166667,3.233333,1.57
 Saint-Jean-de-la-Haize ,SAINT JEAN DE LA,50300,50489,25,48.7,-1.366667,1.34
 Pouilly-le-Monial ,POUILLY LE MONIAL ,69400,69159,82,45.966667,4.65,1.49
 Ouffières ,OUFFIERES   ,14220,14483,25,49.016667,-0.483333,0.93
 Châtillon-sur-Cher ,CHATILLON SUR CHER ,41130,41043,24,47.266667,1.5,2.23
 Vasselay ,VASSELAY   ,18110,18271,24,47.166667,2.4,0.67
 Bonneville-Aptot ,BONNEVILLE APTOT  ,27290,27083,23,49.25,0.766667,1.83
 Conne-de-Labarde ,CONNE DE LABARDE ,24560,24132,72,44.783333,0.55,1.27
 Frôlois ,FROLOIS   ,21150,21288,26,47.533333,4.633333,1.61
 Vieux-Reng ,VIEUX RENG  ,59600,59618,31,50.333333,4.05,2.04
